,pair,clean,raw,name_type
1049,"[[Endowment House, Great Salt Lake City, Great Salt Lake County, Utah Territory|Endowmet House]]","Endowment House, Great Salt Lake City, Great Salt Lake County, Utah Territory",Endowmet House,place
1059,"[[Fort Herriman, Salt Lake County, Utah Territory|Fort Harriman]]","Fort Herriman, Salt Lake County, Utah Territory",Fort Harriman,place
1062,"[[Bountiful, Davis County, Utah Territory|Bountiful]]","Bountiful, Davis County, Utah Territory",Bountiful,place
1063,"[[Farmington, Davis County, Utah Territory|Farmington]]","Farmington, Davis County, Utah Territory",Farmington,place
1067,"[[John Taylor, b. 1808|J Taylor]] & President [[Brigham Young|Young]]","John Taylor, b. 1808",J Taylor]] & President [[Brigham You,place
1072,"[[John Taylor, b. 1808|John Taylor]]","John Taylor, b. 1808",John Taylor,place
1075,"[[Endowment House, Great Salt Lake City, Great Salt Lake County, Utah Territory|Endowment House]]","Endowment House, Great Salt Lake City, Great Salt Lake County, Utah Territory",Endowment House,place
1080,"[[Fort Herriman, Salt Lake County, Utah Territory|Fort Harriman]]","Fort Herriman, Salt Lake County, Utah Territory",Fort Harriman,place
1085,"[[Endowment House, Great Salt Lake City, Great Salt Lake County, Utah Territory|Endowment House]]","Endowment House, Great Salt Lake City, Great Salt Lake County, Utah Territory",Endowment House,place
1087,"[[Fort Herriman, Salt Lake County, Utah Territory|Fort Harriman]]","Fort Herriman, Salt Lake County, Utah Territory",Fort Harriman,place
1095,"[[Endowment House, Great Salt Lake City, Great Salt Lake County, Utah Territory|Endowment House]]","Endowment House, Great Salt Lake City, Great Salt Lake County, Utah Territory",Endowment House,place
1112,"[[Endowment House, Great Salt Lake City, Great Salt Lake County, Utah Territory|Endowment H]]","Endowment House, Great Salt Lake City, Great Salt Lake County, Utah Territory",Endowment H,place
1115,"[[John Taylor, b. 1808|John Taylor]]. In the Afternoon Presidet [[Heber Chase Kimball|H. C. Kimball]]","John Taylor, b. 1808",John Taylor]]. In the Afternoon Presidet [[Heber Chase Kimba,place
1122,"[[Great Salt Lake City, Great Salt Lake County, Utah Territory|Great Salt Lake City]]","Great Salt Lake City, Great Salt Lake County, Utah Territory",Great Salt Lake City,place
1139,"[[John Taylor, b. 1808|John Taylors]]","John Taylor, b. 1808",John Taylors,place
1140,"[[Endowment House, Great Salt Lake City, Great Salt Lake County, Utah Territory|Endowment House]]","Endowment House, Great Salt Lake City, Great Salt Lake County, Utah Territory",Endowment House,place
1146,"[[Fort Herriman, Salt Lake County, Utah Territory|Fort Harriman]]","Fort Herriman, Salt Lake County, Utah Territory",Fort Harriman,place
1148,"[[Fort Herriman, Salt Lake County, Utah Territory|fort]]","Fort Herriman, Salt Lake County, Utah Territory",fort,place
1149,"[[Endowment House, Great Salt Lake City, Great Salt Lake County, Utah Territory|Endowment House]]","Endowment House, Great Salt Lake City, Great Salt Lake County, Utah Territory",Endowment House,place
1154,"[[Endowment House, Great Salt Lake City, Great Salt Lake County, Utah Territory|Endowment House]]","Endowment House, Great Salt Lake City, Great Salt Lake County, Utah Territory",Endowment House,place
1159,"[[John Taylor, b. 1808|J. Taylor]] Prayed & [[George Albert Smith|G. A. Smith]]","John Taylor, b. 1808",J. Taylor]] Prayed & [[George Albert Smi,place
1164,"[[Ozem Thompson Woodruff, b. 1804|Thompson]]","Ozem Thompson Woodruff, b. 1804",Thompson,place
1165,"[[Endowment House, Great Salt Lake City, Great Salt Lake County, Utah Territory|Endowment House]]","Endowment House, Great Salt Lake City, Great Salt Lake County, Utah Territory",Endowment House,place
1170,"[[John Taylor, b. 1808|John Taylor]] Prayed. [[Lorenzo Snow|L. Snow]]","John Taylor, b. 1808",John Taylor]] Prayed. [[Lorenzo Sn,place
1171,"[[Endowment House, Great Salt Lake City, Great Salt Lake County, Utah Territory|Endowment House]]","Endowment House, Great Salt Lake City, Great Salt Lake County, Utah Territory",Endowment House,place
1173,"[[John Taylor, b. 1808|John Taylor]]","John Taylor, b. 1808",John Taylor,place
1174,"[[Endowment House, Great Salt Lake City, Great Salt Lake County, Utah Territory|Endowment House]]","Endowment House, Great Salt Lake City, Great Salt Lake County, Utah Territory",Endowment House,place
1177,"[[Azmon Woodruff, b. 1802|Azmon Woodruff]]","Azmon Woodruff, b. 1802",Azmon Woodruff,place
1183,"[[Endowment House, Great Salt Lake City, Great Salt Lake County, Utah Territory|Endowment House]]","Endowment House, Great Salt Lake City, Great Salt Lake County, Utah Territory",Endowment House,place
1194,"[[Endowment House, Great Salt Lake City, Great Salt Lake County, Utah Territory|Endowment House]]","Endowment House, Great Salt Lake City, Great Salt Lake County, Utah Territory",Endowment House,place
1199,"[[Endowment House, Great Salt Lake City, Great Salt Lake County, Utah Territory|Endowment House]]","Endowment House, Great Salt Lake City, Great Salt Lake County, Utah Territory",Endowment House,place
1204,"[[John Taylor, b. 1808|J Taylor]]","John Taylor, b. 1808",J Taylor,place
1205,"[[Endowment House, Great Salt Lake City, Great Salt Lake County, Utah Territory|Endowment House]]","Endowment House, Great Salt Lake City, Great Salt Lake County, Utah Territory",Endowment House,place
1207,"[[Fort Herriman, Salt Lake County, Utah Territory|Fort Harriman]] with [[Wilford Woodruff Jr.|Wilford]]","Fort Herriman, Salt Lake County, Utah Territory",Fort Harriman]] with [[Wilford Woodruff J,place
1208,"[[Fort Herriman, Salt Lake County, Utah Territory|Fort Harriman]]","Fort Herriman, Salt Lake County, Utah Territory",Fort Harriman,place
1209,"[[Fort Herriman, Salt Lake County, Utah Territory|Fort Harriman]]","Fort Herriman, Salt Lake County, Utah Territory",Fort Harriman,place
1210,"[[Great Salt Lake City, Great Salt Lake County, Utah Territory|G S L City]]","Great Salt Lake City, Great Salt Lake County, Utah Territory",G S L City,place
1211,"[[Endowment House, Great Salt Lake City, Great Salt Lake County, Utah Territory|Endowment House]] [[Daniel Hanmer Wells|D H Wells]]","Endowment House, Great Salt Lake City, Great Salt Lake County, Utah Territory",Endowment House]] [[Daniel Hanmer Wel,place
1214,"[[Endowment House, Great Salt Lake City, Great Salt Lake County, Utah Territory|Endowment House]]","Endowment House, Great Salt Lake City, Great Salt Lake County, Utah Territory",Endowment House,place
1216,"[[Endowment House, Great Salt Lake City, Great Salt Lake County, Utah Territory|Endowments House]]","Endowment House, Great Salt Lake City, Great Salt Lake County, Utah Territory",Endowments House,place
1222,"[[Fort Herriman, Salt Lake County, Utah Territory|Fort Harriman]]","Fort Herriman, Salt Lake County, Utah Territory",Fort Harriman,place
1223,"[[Great Salt Lake City, Great Salt Lake County, Utah Territory|G S. L. City]]","Great Salt Lake City, Great Salt Lake County, Utah Territory",G S. L. City,place
1225,"[[Endowment House, Great Salt Lake City, Great Salt Lake County, Utah Territory|Endowment House]]","Endowment House, Great Salt Lake City, Great Salt Lake County, Utah Territory",Endowment House,place
1229,"[[Endowment House, Great Salt Lake City, Great Salt Lake County, Utah Territory|Endowments House]]","Endowment House, Great Salt Lake City, Great Salt Lake County, Utah Territory",Endowments House,place
1234,"[[Endowment House, Great Salt Lake City, Great Salt Lake County, Utah Territory|Endowment House]]","Endowment House, Great Salt Lake City, Great Salt Lake County, Utah Territory",Endowment House,place
1236,"[[Endowment House, Great Salt Lake City, Great Salt Lake County, Utah Territory|Endowment House]]","Endowment House, Great Salt Lake City, Great Salt Lake County, Utah Territory",Endowment House,place
1239,"[[John Taylor, b. 1808|John Taylor]] spoke in the forenoon & Presidet [[Brigham Young|Young]]","John Taylor, b. 1808",John Taylor]] spoke in the forenoon & Presidet [[Brigham You,place
1241,"[[Endowment House, Great Salt Lake City, Great Salt Lake County, Utah Territory|Endowment House]]","Endowment House, Great Salt Lake City, Great Salt Lake County, Utah Territory",Endowment House,place
1256,"[[Endowment House, Great Salt Lake City, Great Salt Lake County, Utah Territory|Endowment House]]","Endowment House, Great Salt Lake City, Great Salt Lake County, Utah Territory",Endowment House,place
1259,"[[Tabernacle, Great Salt Lake City, Great Salt Lake County, Utah Territory|Tabernacle]] all day. [[Ezra Taft Benson|E. T. Benson]]","Tabernacle, Great Salt Lake City, Great Salt Lake County, Utah Territory",Tabernacle]] all day. [[Ezra Taft Bens,place
1264,"[[Camp Floyd, Fairfield, Utah County, Utah Territory|Camp Floyd]]","Camp Floyd, Fairfield, Utah County, Utah Territory",Camp Floyd,place
1279,"[[Farmington, Davis County, Utah Territory|Farmington]]","Farmington, Davis County, Utah Territory",Farmington,place
1282,"[[Farmington, Davis County, Utah Territory|Farmington]]","Farmington, Davis County, Utah Territory",Farmington,place
1292,"[[Great Salt Lake City, Great Salt Lake County, Utah Territory|G.S.L.C.]]","Great Salt Lake City, Great Salt Lake County, Utah Territory",G.S.L.C.,place
1293,"[[Endowment House, Great Salt Lake City, Great Salt Lake County, Utah Territory|Endowment House]]","Endowment House, Great Salt Lake City, Great Salt Lake County, Utah Territory",Endowment House,place
1296,"[[Tabernacle, Great Salt Lake City, Great Salt Lake County, Utah Territory|Tabernacle]] all day [[Elijah Funk Sheets|E. F. Sheets]]","Tabernacle, Great Salt Lake City, Great Salt Lake County, Utah Territory",Tabernacle]] all day [[Elijah Funk Shee,place
1299,"[[John Taylor, b. 1808|John Taylor]]","John Taylor, b. 1808",John Taylor,place
1301,"[[Great Salt Lake City, Great Salt Lake County, Utah Territory|meGreat Salt Lake City]]","Great Salt Lake City, Great Salt Lake County, Utah Territory",meGreat Salt Lake City,place
1304,"[[Azmon Woodruff, b. 1802|Azmon Woodruff]]","Azmon Woodruff, b. 1802",Azmon Woodruff,place
1307,"[[Ozem Thompson Woodruff, b. 1804|Thompson Woodruff]]","Ozem Thompson Woodruff, b. 1804",Thompson Woodruff,place
1309,"[[Jackson County, Missouri|Jackson County]]","Jackson County, Missouri",Jackson County,place
1310,"[[Endowment House, Great Salt Lake City, Great Salt Lake County, Utah Territory|Endowment]]","Endowment House, Great Salt Lake City, Great Salt Lake County, Utah Territory",Endowment,place
1312,"[[Liverpool, Lancashire, England|Liverpool]]","Liverpool, Lancashire, England",Liverpool,place
1314,"[[Endowment House, Great Salt Lake City, Great Salt Lake County, Utah Territory|Endowment House]]","Endowment House, Great Salt Lake City, Great Salt Lake County, Utah Territory",Endowment House,place
1316,"[[Tabernacle, Great Salt Lake City, Great Salt Lake County, Utah Territory|Tabernacle]] all day Bishop [[Henry Lunt|Lunt]] Preached in the morning [[Brigham Young Jr.|Brigham Young jr]]","Tabernacle, Great Salt Lake City, Great Salt Lake County, Utah Territory",Tabernacle]] all day Bishop [[Henry Lu,place
1325,"[[Endowment House, Great Salt Lake City, Great Salt Lake County, Utah Territory|Endowment House]]","Endowment House, Great Salt Lake City, Great Salt Lake County, Utah Territory",Endowment House,place
1327,"[[Tabernacle, Great Salt Lake City, Great Salt Lake County, Utah Territory|Tabernacle]] [[Lorenzo Snow|Lorenzo Snow]]","Tabernacle, Great Salt Lake City, Great Salt Lake County, Utah Territory",Tabernacle]] [[Lorenzo Sn,place
1337,"[[Lehi, Utah County, Utah Territory|Lehi]]","Lehi, Utah County, Utah Territory",Lehi,place
1338,"[[Jackson County, Missouri|Jackson County]]","Jackson County, Missouri",Jackson County,place
1344,"[[Endowment House, Great Salt Lake City, Great Salt Lake County, Utah Territory|Endowment House]]","Endowment House, Great Salt Lake City, Great Salt Lake County, Utah Territory",Endowment House,place
1346,"[[Tabernacle, Great Salt Lake City, Great Salt Lake County, Utah Territory|Tabernacle]] [[William Carter Staines|Wm C Stanes]]","Tabernacle, Great Salt Lake City, Great Salt Lake County, Utah Territory",Tabernacle]] [[William Carter Stain,place
1355,"[[Endowment House, Great Salt Lake City, Great Salt Lake County, Utah Territory|Endowment House]]","Endowment House, Great Salt Lake City, Great Salt Lake County, Utah Territory",Endowment House,place
1358,"[[Tabernacle, Great Salt Lake City, Great Salt Lake County, Utah Territory|Tabernacle]] [[John Taylor, b. 1808|John Taylor]]","Tabernacle, Great Salt Lake City, Great Salt Lake County, Utah Territory","Tabernacle]] [[John Taylor, b. 18",place
1364,"[[Endowment House, Great Salt Lake City, Great Salt Lake County, Utah Territory|Endowments House]]","Endowment House, Great Salt Lake City, Great Salt Lake County, Utah Territory",Endowments House,place
1370,"[[City Hall, Great Salt Lake City, Great Salt Lake County, Utah Territory|City Hall]]","City Hall, Great Salt Lake City, Great Salt Lake County, Utah Territory",City Hall,place
1374,"[[Great Salt Lake City, Great Salt Lake County, Utah Territory|G. S. L. City]]","Great Salt Lake City, Great Salt Lake County, Utah Territory",G. S. L. City,place
1378,"[[Endowment House, Great Salt Lake City, Great Salt Lake County, Utah Territory|Endowment House]]","Endowment House, Great Salt Lake City, Great Salt Lake County, Utah Territory",Endowment House,place
1380,"[[Tabernacle, Great Salt Lake City, Great Salt Lake County, Utah Territory|Tabernacle]]","Tabernacle, Great Salt Lake City, Great Salt Lake County, Utah Territory",Tabernacle,place
1386,"[[Endowment House, Great Salt Lake City, Great Salt Lake County, Utah Territory|Endowment House]]","Endowment House, Great Salt Lake City, Great Salt Lake County, Utah Territory",Endowment House,place
1389,"[[Centerville, Davis County, Utah Territory|Centerville]]","Centerville, Davis County, Utah Territory",Centerville,place
1393,"[[Endowment House, Great Salt Lake City, Great Salt Lake County, Utah Territory|Endowment House]]","Endowment House, Great Salt Lake City, Great Salt Lake County, Utah Territory",Endowment House,place
1396,"[[Farmington, Davis County, Utah Territory|Farmington]]","Farmington, Davis County, Utah Territory",Farmington,place
1399,"[[Tabernacle, Great Salt Lake City, Great Salt Lake County, Utah Territory|Tabernacle]]. [[George Godard|George Godard]]","Tabernacle, Great Salt Lake City, Great Salt Lake County, Utah Territory",Tabernacle]]. [[George Goda,place
1411,"[[Endowment House, Great Salt Lake City, Great Salt Lake County, Utah Territory|Endowment House]]","Endowment House, Great Salt Lake City, Great Salt Lake County, Utah Territory",Endowment House,place
1418,"[[Endowment House, Great Salt Lake City, Great Salt Lake County, Utah Territory|Endowment House]]","Endowment House, Great Salt Lake City, Great Salt Lake County, Utah Territory",Endowment House,place
1422,"[[Great Salt Lake City, Great Salt Lake County, Utah Territory|G. S. L. City]]","Great Salt Lake City, Great Salt Lake County, Utah Territory",G. S. L. City,place
1423,"[[Endowment House, Great Salt Lake City, Great Salt Lake County, Utah Territory|Endowment House]]","Endowment House, Great Salt Lake City, Great Salt Lake County, Utah Territory",Endowment House,place
1427,"[[Endowment House, Great Salt Lake City, Great Salt Lake County, Utah Territory|Endowment House]]","Endowment House, Great Salt Lake City, Great Salt Lake County, Utah Territory",Endowment House,place
